,fsq_id,categories,chains,distance,link,name,timezone,geocodes.main.latitude,geocodes.main.longitude,location.address,location.country,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,location.neighborhood,geocodes.roof.latitude,geocodes.roof.longitude,location.address_extended
20,ff1ef9d3a33f4da461c5bfd0,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],1727,/v3/places/ff1ef9d3a33f4da461c5bfd0,Boys Hostel,,18.507505,73.84754,,IN,,"Pune 411030, Maharashtra",Pune,411030,Maharashtra,['Sadashiv Peth'],,,
21,1d0db5fee48e4110ed265f49,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],1888,/v3/places/1d0db5fee48e4110ed265f49,Girls Hostel,,18.51995,73.838785,Ganeshwadi,IN,,"Ganeshwadi, Pune 411004, Maharashtra",Pune,411004,Maharashtra,['Deccan Gymkhana'],18.51995,73.838785,
22,a480fdd8ce674e5905bf03dd,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],1987,/v3/places/a480fdd8ce674e5905bf03dd,Military Girls Hostel,,18.508566,73.842554,"Military Girls Hostel, Plot No 192",IN,,"Military Girls Hostel, Plot No 192, Pune 411030, Maharashtra",Pune,411030,Maharashtra,['New Sadashiv Peth'],18.508566,73.842554,
23,776bb4ac06b642071883140e,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],3078,/v3/places/776bb4ac06b642071883140e,Girls Hostel,,18.518013,73.827591,"Law College Road, Chiplunkar Road",IN,,"Law College Road, Chiplunkar Road, Pune 411004, Maharashtra",Pune,411004,Maharashtra,['Deccan Gymkhana'],18.518013,73.827591,
24,ed44bb281cef4dd51a28f2d5,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],3139,/v3/places/ed44bb281cef4dd51a28f2d5,Cheshire Home,,18.519891,73.88649,"Head Quarter Pune Sub Area, 8, Jijamata Road, Pune Sub Area",IN,,"Head Quarter Pune Sub Area, 8, Jijamata Road, Pune Sub Area, Pune 411001, Maharashtra",Pune,411001,Maharashtra,['Pune Station'],18.519891,73.88649,
25,4b9a1d13517148d98036371d,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],3180,/v3/places/4b9a1d13517148d98036371d,Baramati Hostel,,18.524006,73.826758,Balsastri Jambhekar Marg,IN,,"Balsastri Jambhekar Marg, Pune 411016, Maharashtra",Pune,411016,Maharashtra,['Gokhale Nagar'],18.524006,73.826758,
26,a2db14b48a084f8d903bfebf,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],3320,/v3/places/a2db14b48a084f8d903bfebf,Pune Girls Hostel,,18.526709,73.825899,,IN,,"Pune 411016, Maharashtra",Pune,411016,Maharashtra,['Gokhale Nagar'],18.526709,73.825899,
27,97c9d1c2f123477cff20e90d,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],3420,/v3/places/97c9d1c2f123477cff20e90d,Institute of Children Hostel,,18.489871,73.852535,Parvati,IN,,"Parvati, Pune 411009, Maharashtra",Pune,411009,Maharashtra,['Parvati'],18.489871,73.852535,
28,7eb2eb8c4e2e450528a1062a,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],3586,/v3/places/7eb2eb8c4e2e450528a1062a,Spicer India,,18.488237,73.853877,,IN,,Pune 411037,Pune,411037,,,18.488237,73.853877,
29,0cf74d35d87642dcec988cb6,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],3753,/v3/places/0cf74d35d87642dcec988cb6,Hostel,,18.487151,73.85041,,IN,,"Pune 411009, Maharashtra",Pune,411009,Maharashtra,['Sahakar Nagar'],18.487151,73.85041,
30,184c69d9d90b45bfdcab545d,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],3937,/v3/places/184c69d9d90b45bfdcab545d,Godavari Boys Hostel,,18.547938,73.833189,"Savitribai Phule University, Ganeshkhind",IN,,"Savitribai Phule University, Ganeshkhind, Pune 411007, Maharashtra",Pune,411007,Maharashtra,['Ganeshkhind'],18.547938,73.833189,
31,08d913a4333c48fcb8e8718a,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],4129,/v3/places/08d913a4333c48fcb8e8718a,Monar Ladies Hostel,,18.517559,73.817624,32 Paud Road,IN,,"32 Paud Road, Pune 411038, Maharashtra",Pune,411038,Maharashtra,['Kothrud'],18.517559,73.817624,Near Mit College
32,b4b22ba86c7f43f8399288f0,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],4198,/v3/places/b4b22ba86c7f43f8399288f0,Madhuman Hostel,,18.518676,73.816901,"5 Yashashree Society, Rambaug Colony, Kothrud",IN,,"5 Yashashree Society, Rambaug Colony, Kothrud, Pune 411038, Maharashtra",Pune,411038,Maharashtra,['Kothrud'],18.518676,73.816901,
33,3b83306ae1f14180c403068d,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],5358,/v3/places/3b83306ae1f14180c403068d,Bachnest Hostel,,18.49037,73.81691,"124/12, Mulik Farm, Paud Road, Kothrud, Nr Mit College",IN,,"124/12, Mulik Farm, Paud Road, Kothrud, Nr Mit College, Pune 411038, Maharashtra",Pune,411038,Maharashtra,,,,
34,e974f35fa8164954b3c8ad92,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],5454,/v3/places/e974f35fa8164954b3c8ad92,Ghaisas Guruji Vedpathshala,,18.504129,73.807864,"77-1-2, Vedbhavan, Paud Road",IN,,"77-1-2, Vedbhavan, Paud Road, Pune 411038, Maharashtra",Pune,411038,Maharashtra,['Kothrud'],18.504129,73.807864,
